code,theme,degree,strength,betweenness,cross_theme_share,text
S09,S,26,10.21,0.06487,0.5901,Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.
V09,V,24,9.925,0.04734,0.5476,"Products should be designed to encourage reuse, repair, and recycling."
V07,V,25,9.847,0.05552,0.5513,Protecting biodiversity is essential for long-term human well-being.
E10,E,22,8.95,0.1058,0.7029,Universities should prioritize innovation and problem-solving over rote learning.
S07,S,24,8.946,0.06721,0.7497,Equal opportunities should be prioritized regardless of a person's background.
V02,V,23,8.736,0.04267,0.5644,Governments should prioritize investment in renewable energy over fossil fuels.
V10,V,21,8.703,0.03741,0.4673,Consumers should consider environmental impact when purchasing products.
S14,S,21,8.565,0.05085,0.656,Leaders should prioritize ethical decision-making even when it reduces short-term gains.
V14,V,21,8.394,0.01461,0.5089,International cooperation is necessary to effectively address environmental challenges.
S06,S,22,8.382,0.06312,0.7825,"Combating online misinformation requires shared responsibility among users, platforms, and governments."
V08,V,21,8.25,0.01812,0.4054,Universities should adopt environmentally sustainable campus practices even if implementation costs increase.
V12,V,19,7.562,0.0152,0.3384,Environmental sustainability should be integrated into higher education curricula.
V13,V,18,7.55,0.01812,0.3781,Companies should be held accountable for the environmental impacts of their activities.
E14,E,17,6.596,0.01636,0.6553,Strong collaborations between universities and industry improve student education.
V15,V,18,6.572,0.009936,0.379,Current generations have a responsibility to protect natural resources for future generations.
S15,S,17,6.396,0.009351,0.533,Building public trust is essential for responsible adoption of emerging technologies.
S13,S,17,6.304,0.02455,0.6852,Critical evaluation of online information should be taught as a core educational skill.
E12,E,15,5.557,0.06371,0.6512,Artificial intelligence should be integrated into teaching and personalized learning.
E07,E,14,5.512,0.007598,0.6362,"Publishing research before graduation should be encouraged, but not mandatory."
E15,E,14,5.432,0.005845,0.54,Continuous learning and skill development are essential throughout one's career.
V05,V,15,5.34,0.002922,0.3852,Single-use plastics should be significantly restricted.
V04,V,14,5.077,0.004091,0.2204,Public transportation and non-motorized transport should be promoted even if they require additional public investment.
T12,T,13,4.695,0.04325,0.5831,Governments should introduce stricter regulations for Artificial Intelligence.
E11,E,12,4.53,0.008182,0.6184,University curricula should be updated more frequently to match emerging technologies.
S04,S,12,4.308,0.002338,0.4909,Technology companies should be accountable for unethical use of their platforms.
V03,V,11,4.237,0.01286,0.5344,Individuals should actively reduce their personal energy consumption.
S02,S,11,3.925,0.02221,0.4333,Universities should encourage students to participate in community service activities.
V11,V,11,3.864,0.0111,0.5801,Technological innovation is essential for addressing environmental challenges.
S12,S,11,3.783,0.003507,0.5307,Young people should actively participate in addressing societal challenges.
S10,S,10,3.776,0.0263,0.6997,Scientific evidence should play an important role in public policy decisions.
S11,S,10,3.678,0.007013,0.7933,People should be free to express differing opinions as long as they do not promote harm or discrimination.
V06,V,9,3.343,0.004091,0.2249,"Water conservation should be a priority in households, institutions, and industries."
T06,T,8,3.174,0.004091,1,Most repetitive jobs will eventually be replaced by intelligent automation.
V01,V,8,3.169,0.03156,0.3666,Climate change requires immediate global action.
T11,T,8,2.762,0.005845,0.7704,Technology companies should explain how recommendation algorithms work.
T03,T,6,2.097,0.00526,0.8567,Students should disclose the use of AI in assignments and reports.
T04,T,6,2.063,0,0.8476,Every engineering student should receive formal education in AI.
E01,E,6,2.054,0.0415,0.2925,Project-based learning develops deeper understanding than examination-oriented learning.
S03,S,5,1.944,0.001753,0.3667,New technologies should be evaluated for their societal impact before widespread deployment.
T14,T,5,1.872,0,0.6291,Social media algorithms contribute to opinion polarization.
E05,E,5,1.756,0.01461,0.5815,Students should be encouraged to take courses outside their primary discipline.
T13,T,5,1.754,0.002922,0.7216,Cybersecurity deserves greater investment than the development of new digital technologies.
S01,S,4,1.705,0.00526,0,Every individual has a responsibility to contribute positively to society.
E08,E,5,1.619,0,0.602,Maintaining academic honesty is more important than obtaining high grades.
S05,S,4,1.506,0.004091,0.7774,Individuals should have greater control over how their personal data are collected and used.
T10,T,3,1.235,0,0.3756,Protection of personal data is more important than technological convenience.
T02,T,2,0.8626,0.03156,0.6159,Generative AI tools should be allowed as learning aids in higher education.
E09,E,2,0.771,0.001169,0.4427,Collaborative learning is generally more effective than individual learning.
E03,E,2,0.7426,0,0.4069,Class attendance should be compulsory for all courses.
T05,T,2,0.697,0,1,Artificial Intelligence will significantly accelerate scientific discovery.
E06,E,2,0.688,0,0.5032,Every undergraduate student should participate in at least one research project.
E04,E,2,0.6308,0,1,High-quality online learning can effectively complement classroom teaching.
T07,T,1,0.4519,0,1,Robots should replace humans in hazardous occupations whenever possible.
T01,T,1,0.3314,0,0,Artificial Intelligence will improve society more than it will create problems.
E02,E,1,0.3144,0,0,Traditional written examinations accurately measure a student's knowledge.
S08,S,1,0.3065,0,0,Diverse teams generally make better decisions than homogeneous teams.
T15,T,0,0,0,0,Society will increasingly depend on AI-assisted decision making.
T09,T,0,0,0,0,Autonomous vehicles will ultimately make transportation safer.
T08,T,0,0,0,0,AI-assisted diagnosis should become routine in healthcare.
E13,E,0,0,0,0,Universities should invest more resources in research than in expanding infrastructure.
